accession	Mut_L0_1	Mut_L0_2	Mut_L3_1	Mut_L3_2	URT1_L12_1_2019	URT1_L12_2_2019	URT1_L17_1_2019	URT1_L17_2_2019
AT2G11000.1	0	0	0	0	0	1	0	0
AT2G14120.3	1	3	2	3	2	2	4	4
AT2G15400.1	1	1	1	2	0	2	1	2
AT2G15430.1	3	2	3	4	3	3	2	3
AT2G15690.1	2	2	2	3	3	2	2	3
AT2G16485.1	1	0	1	1	0	0	1	1
AT2G16570.1	0	0	0	0	0	1	0	0
AT2G16600.1	15	9	14	8	16	18	8	14
AT2G16640.1	0	0	0	2	0	0	0	1
AT2G17265.1	0	0	0	0	0	1	0	0
AT2G17280.1	0	0	0	0	0	0	1	0
AT2G17360.1	19	16	15	15	14	14	19	18
AT2G17380.1	0	1	0	0	0	1	0	0
AT2G17510.2	0	0	0	0	0	1	1	1
AT2G17560.1	0	3	1	3	0	0	0	0
AT2G17790.1	2	1	1	1	1	2	2	1
AT2G17800.1	1	0	0	1	1	0	0	0
AT2G17870.1	0	0	1	0	0	3	5	3
AT2G17930.1	1	0	0	0	0	0	0	0
AT2G17980.1	0	0	0	0	0	0	1	0
AT2G18020.1	21	17	17	17	19	19	18	13
AT2G18110.1	4	2	2	3	4	1	3	2
AT2G18330.1	3	4	2	3	1	2	2	2
AT2G18740.1	1	1	0	0	1	1	1	1
AT2G18790.1	0	2	2	1	0	0	1	3
AT2G18960.1	14	11	10	13	5	9	10	15
AT2G19080.1	1	0	0	0	0	1	1	0
AT2G19170.1	0	0	0	0	0	0	0	1
AT2G19480.1	2	3	2	3	4	3	3	3
AT2G19520.1	2	2	2	1	0	1	2	1
AT2G19730.1	3	4	1	1	2	1	2	1
AT2G19740.1	2	1	1	1	1	0	0	1
AT2G20140.1	3	2	2	2	2	2	0	0
AT2G20190.1	0	2	1	1	0	0	0	1
AT2G20260.1	1	1	0	1	0	1	0	0
AT2G20420.1	3	0	1	1	0	2	0	0
AT2G20450.1	4	5	2	2	4	3	2	3
AT2G20580.1	4	6	4	4	2	2	6	2
AT2G20760.1	3	0	0	0	0	0	4	0
